REGINN;Reginn Fasteignafélag;realestate;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2013-09-03;13,537;13,677;13,577;13,647;13,577;13,647;13,612;1001690,8541618251;13635000;2;
2013-09-02;13,477;13,577;13,477;13,557;13,477;13,557;13,504;1502536,2812427377;20290000;3;
2013-08-30;13,327;13,477;13,288;13,288;13,288;13,288;13,288;100169,08541618251;1331000;1;
2013-08-29;13,377;13,477;13,377;13,397;13,377;13,397;13,384;3005072,5624854755;40220000;3;
2013-08-28;13,367;13,447;13,377;13,377;13,377;13,377;13,377;16240932,694388127;217261141,2;1;
2013-08-27;13,367;13,467;13,307;13,367;13,307;13,367;13,357;3005072,5624854755;40140000;4;
2013-08-26;13,148;13,307;13,128;13,128;13,128;13,128;13,128;107569,57744673008;1412152,2;1;
2013-08-23;13,178;13,307;13,218;13,307;13,178;13,178;13,18;872165,214882722;11495413,64;8;
2013-08-22;13,178;13,258;13,198;13,258;13,198;13,258;13,202;548166,3047223714;7236926,02;3;
2013-08-21;13,168;13,198;13,198;13,198;13,198;13,198;13,198;37884,94979525439;499993,62;1;
2013-08-20;13,138;13,198;13,128;13,178;13,128;13,178;13,172;858949,9074437651;11314000;2;
2013-08-19;13,078;13,208;;;;13,078;;;;0;
2013-08-16;13,058;13,218;13,078;13,078;13,028;13,078;13,065;5069533,3723324975;66245736,8;9;
2013-08-15;13,078;13,178;13,048;13,128;13,048;13,128;13,11;189906,5622771238;2489694,88;3;
2013-08-14;13,078;13,208;13,038;13,098;13,038;13,098;13,096;811756,2445407848;10630886,12;2;
2013-08-13;13,028;13,128;13,078;13,078;12,938;13,078;13,009;5804433,884396862;75327768;9;
2013-08-12;13,128;13,208;13,128;13,128;13,128;13,128;13,128;130950,04367372124;1719086,35;1;
2013-08-09;13,128;13,208;13,128;13,208;13,128;13,208;13,197;458688,265792658;6053402,22;2;
2013-08-08;13,148;13,218;13,128;13,218;13,078;13,218;13,146;1320424,8771927012;17358843,2;5;
2013-08-07;13,078;13,218;13,038;13,128;13,038;13,128;13,127;3471958,666228594;45576488,7;4;
2013-08-06;13,088;13,098;13,078;13,123;13,078;13,123;13,12;496179,5510822268;6508419,24;3;
2013-08-02;13,038;13,128;13,058;13,088;13,028;13,038;13,042;6713724,767407384;87563350,78;8;
2013-08-01;12,888;13,018;12,908;13,038;12,908;13,038;12,911;2552116,9734511855;32951395,54;4;
2013-07-31;12,818;12,888;12,858;12,888;12,858;12,888;12,859;5509299,697890039;70363000;10;
2013-07-30;12,679;12,828;;;;12,778;;;;0;
2013-07-29;12,689;12,858;;;;12,778;;;;0;
2013-07-26;12,679;12,858;12,778;12,778;12,778;12,778;12,778;6655349,229499395;85044672;5;
2013-07-25;12,679;12,858;12,679;12,848;12,679;12,848;12,84;525583,184415293;6748639,2;2;
2013-07-24;12,679;12,858;12,679;12,858;12,679;12,858;12,816;657109,2003301573;8421200;2;
2013-07-23;12,728;12,838;12,818;12,838;12,818;12,838;12,833;2003381,7083236503;25710000;3;
2013-07-22;12,728;12,768;12,768;12,768;12,768;12,768;12,768;35059,17989566388;447650;1;
2013-07-19;12,659;12,838;12,848;12,918;12,728;12,728;12,813;4095561,3074870384;52477347,09;11;
2013-07-18;12,659;12,828;12,599;12,758;12,569;12,659;12,644;5538618,187500501;70031606,36;9;
2013-07-17;12,429;12,599;12,339;12,529;12,339;12,529;12,478;4033944,297974982;50335388,6;7;
2013-07-16;12,339;12,509;12,339;12,339;12,339;12,339;12,339;12216,62165735762;150742,56;1;
2013-07-15;12,339;12,469;;;;12,469;;;;0;
2013-07-12;12,329;12,509;12,419;12,469;12,419;12,469;12,423;881487,9516624062;10951200;2;
2013-07-11;12,329;12,499;12,279;12,419;12,279;12,419;12,357;4353864,322977185;53799995,1;8;
2013-07-10;12,229;12,299;12,239;12,239;12,239;12,239;12,239;539246,2476660603;6599999,36;3;
2013-07-09;12,249;12,329;12,229;12,229;12,229;12,229;12,229;513062,0487382702;6274644,92;2;
2013-07-08;12,229;12,399;12,399;12,399;12,399;12,399;12,399;16327,56092283775;202446;1;
2013-07-05;12,249;12,409;12,309;12,309;12,249;12,249;12,307;621119,4496309771;7644158,31;4;
2013-07-04;12,279;12,379;12,409;12,409;12,309;12,309;12,389;2511480,3788795485;31115005,63;5;
2013-07-03;12,409;12,519;;;;12,439;;;;0;
2013-07-02;12,419;12,509;12,449;12,479;12,439;12,439;12,452;4140892,8270921316;51561387,5;7;
2013-07-01;12,329;12,429;12,329;12,329;12,329;12,329;12,329;1101859,9395780076;13635000;2;
2013-06-28;12,299;12,449;;;;12,349;;237636,1297870806;2934596,95;1;
2013-06-27;12,339;12,379;12,379;12,379;12,339;12,349;12,353;5734680,140076449;70840000;7;
2013-06-26;12,349;12,479;12,379;12,379;12,379;12,379;12,379;10016,908541618251;124000;1;
2013-06-25;12,329;12,489;12,404;12,404;12,379;12,379;12,387;3005072,5624854755;37225000;2;
2013-06-24;12,319;12,379;12,329;12,359;12,329;12,359;12,342;1938221,7182604237;23921632,5;3;
2013-06-21;12,229;12,359;12,229;12,279;12,179;12,279;12,229;4006763,4166473006;49000000;8;
2013-06-20;12,279;12,329;;;;12,329;;4507608,843728214;55575000;1;
2013-06-19;12,279;12,399;12,399;12,409;12,329;12,329;12,376;6519004,0788851585;80680200;8;
2013-06-18;12,229;12,399;12,369;12,369;12,229;12,229;12,356;550929,9697890038;6807500;2;
2013-06-14;12,379;12,499;12,399;12,499;12,379;12,499;12,398;691867,8729695727;8577680;4;
2013-06-13;12,399;12,549;12,599;12,599;12,379;12,379;12,506;7562765,94892178;93945000;7;
2013-06-12;12,599;12,728;;;;12,629;;;;0;
2013-06-11;12,599;12,728;12,728;12,728;12,629;12,629;12,676;2103550,793739833;26665000;4;
2013-06-10;12,788;12,958;12,778;12,778;12,778;12,778;12,778;12365873,594627732;158016000;3;
2013-06-07;12,878;12,948;12,958;12,958;12,928;12,928;12,933;145197,09269246488;1877818,4;2;
2013-06-06;12,788;12,928;12,908;12,928;12,878;12,878;12,893;346404731,1862424;4325475161,3;22;
2013-06-05;12,379;12,509;12,459;12,479;12,429;12,429;12,451;6170415,661636843;76940000;6;
2013-06-04;12,289;12,389;12,389;12,449;12,279;12,289;12,352;7240677,263220316;89436996,5;10;
2013-06-03;12,389;12,529;12,499;12,509;12,479;12,479;12,488;4725699,981568889;59016537,5;7;
2013-05-31;12,339;12,479;12,229;12,399;12,179;12,329;12,311;16107725,84121998;197383808,35;14;
2013-05-30;12,379;12,529;12,379;12,559;12,379;12,379;12,44;4507608,843728214;56075000;8;
2013-05-29;12,11;;12,329;12,329;12,12;12,279;12,176;5519316,6064316565;67203500;9;
2013-05-28;12,289;12,449;12,728;12,728;12,299;12,299;12,484;5115490,948721442;63863082,96;11;
2013-05-27;12,579;12,679;12,709;12,709;12,629;12,679;12,697;34118375,81838143;435221464,36;7;
2013-05-24;12,709;12,858;12,699;12,778;12,699;12,709;12,718;3466668,736827765;44090693,58;7;
2013-05-23;12,589;12,659;;;;12,699;;;;0;
2013-05-22;12,579;12,699;12,624;12,699;12,624;12,699;12,627;3125275,4649848947;39461400;5;
2013-05-21;12,539;12,679;12,689;12,689;12,539;12,539;12,687;2421768,9459808157;30726073,36;3;
2013-05-17;12,529;12,699;12,449;12,699;12,449;12,699;12,609;3558960,5253668194;44874254,66;6;
2013-05-16;12,449;12,619;12,589;12,589;12,589;12,589;12,595;46889874,10749345;597996052,72;5;
2013-05-15;12,689;12,758;12,728;12,758;12,679;12,758;12,72;3271230,83765396;41620761,02;5;
2013-05-14;12,679;12,758;12,828;12,848;12,549;12,758;12,741;7838302,0538669275;99867177,8;16;
2013-05-13;12,838;13,008;13,128;13,128;12,978;12,978;13,052;6615338,691711609;86343832,4;11;
2013-05-10;13,128;13,208;13,178;13,178;13,128;13,128;13,129;2674620,759842614;35115399,2;3;
2013-05-08;13,158;13,228;13,178;13,228;13,168;13,228;13,187;2848499,266762295;37564416,35;10;
2013-05-07;13,158;13,258;13,228;13,258;13,178;13,178;13,215;2504184,062697834;33070592,52;8;
2013-05-06;13,178;13,298;13,148;13,278;13,148;13,178;13,167;2390986,9860324226;31482294,67;7;
2013-05-03;13,228;13,307;13,208;13,228;13,208;13,228;13,222;171021,6846036109;2261236,63;2;
2013-05-02;13,138;13,307;13,178;13,218;13,138;13,208;13,193;4507608,843728214;59485000;11;
2013-04-30;13,178;13,327;13,377;13,377;13,278;13,327;13,321;2654480,763528837;35360000;9;
2013-04-29;13,377;13,477;13,577;13,577;13,377;13,377;13,487;1828805,0228786191;24665948;10;
2013-04-26;13,577;13,647;13,577;13,667;13,577;13,607;13,607;1587722,0748623677;21602834,2;8;
2013-04-24;13,527;13,577;13,627;13,627;13,577;13,577;13,60;1101859,9395780076;14985000;7;
2013-04-23;13,487;13,667;13,327;13,527;13,327;13,527;13,457;2656069,4452235373;35741673,1;10;
2013-04-22;13,327;13,517;13,677;13,677;13,477;13,477;13,502;3928731,6991080944;53046770;8;
2013-04-19;13,627;13,767;13,677;13,717;13,587;13,587;13,685;1926911,6268260823;26370528,3;4;
2013-04-18;13,577;13,627;13,477;13,627;13,437;13,577;13,558;6992905,023679972;94812752,38;13;
2013-04-17;13,327;13,377;13,278;13,457;13,278;13,457;13,376;2778256,697305051;37088657,08;9;
2013-04-16;13,178;13,327;13,078;13,228;12,978;13,228;13,151;4596775,356802282;60452130,28;8;
2013-04-15;13,078;13,208;13,248;13,248;13,078;13,078;13,178;551182,3958842526;7263278,04;5;
2013-04-12;13,228;13,377;13,377;13,377;13,377;13,377;13,377;1001690,8541618251;13400000;4;
2013-04-11;13,377;13,427;13,377;13,377;13,377;13,377;13,377;111358,97394802427;1489691,4;2;
2013-04-10;13,377;13,517;13,377;13,377;13,377;13,377;13,377;100902,32312142897;1349808,8;2;
2013-04-09;13,377;13,467;13,407;13,407;13,407;13,407;13,407;7657,926580067154;102672,35;1;
2013-04-08;13,377;13,407;13,377;13,407;13,377;13,407;13,403;1177764,0657429741;15785398,4;3;
2013-04-05;13,278;13,457;13,467;13,467;13,377;13,377;13,378;1707882,906345912;22847450;3;
2013-04-04;13,377;13,477;13,377;13,377;13,377;13,377;13,377;466641,6911747029;6242443,6;2;
2013-04-03;13,377;13,517;13,477;13,477;13,477;13,477;13,477;14659,745650658311;197572,5;1;
2013-04-02;13,477;13,577;13,477;13,527;13,477;13,527;13,525;6330247,457708612;85614087;6;
2013-03-27;13,477;13,667;13,377;13,627;13,377;13,477;13,566;5261088,717755572;71371782,4;14;
2013-03-26;13,377;13,467;13,457;13,467;13,377;13,377;13,454;1104339,1244420581;14858165;4;
2013-03-25;13,327;13,467;13,327;13,467;13,327;13,327;13,41;849409,8037487279;11390479,6;4;
2013-03-22;13,377;13,457;13,397;13,397;13,377;13,377;13,385;5575387,253684219;74624078,4;4;
2013-03-21;13,327;13,457;;;;13,447;;;;0;
2013-03-20;13,377;13,457;13,397;13,457;13,397;13,447;13,413;626056,7838511408;8397250;3;
2013-03-19;13,327;13,467;13,327;13,327;13,327;13,327;13,327;10029125,163275608;134362816,6;2;
2013-03-18;13,377;13,517;13,487;13,487;13,477;13,477;13,478;1051775,3968699164;14175500;4;
2013-03-15;13,577;13,627;13,607;13,627;13,577;13,627;13,602;2548405,708836516;34662019,6;4;
2013-03-14;13,577;13,677;13,627;13,627;13,627;13,627;13,627;122158,2030467429;1664644,8;1;
2013-03-13;13,577;13,747;13,627;13,667;13,627;13,667;13,655;2554311,678112654;34879500;2;
2013-03-12;13,577;13,677;13,577;13,577;13,577;13,577;13,577;94439,41373037688;1282208;1;
2013-03-11;13,577;13,767;13,702;13,727;13,627;13,657;13,658;11758497,343515854;160594948,07;7;
2013-03-08;13,627;13,757;13,757;13,757;13,692;13,692;13,714;6015754,593754257;82497168;5;
2013-03-07;13,737;13,797;13,577;13,777;13,577;13,757;13,732;8879994,430598851;121955375,33;13;
2013-03-06;13,577;13,707;13,248;13,717;13,248;13,697;13,546;12923653,126477494;175069125;19;
2013-03-05;13,088;13,238;13,128;13,128;13,088;13,088;13,124;2186619,012893765;28698186,08;2;
2013-03-04;13,078;13,258;13,078;13,078;13,078;13,078;13,078;436590,96554984815;5709687,4;2;
2013-03-01;13,078;13,258;13,228;13,238;13,198;13,198;13,218;7697994,214233627;101752250;5;
2013-02-28;13,078;13,168;13,218;13,228;13,218;13,228;13,224;3230953,850098967;42725620;5;
2013-02-27;13,258;13,397;13,407;13,417;13,278;13,417;13,322;3292788,226526377;43864998,9;6;
2013-02-26;13,278;13,417;13,128;13,417;13,128;13,407;13,314;8259047,2717947895;109962514,77;18;
